Version Size Threads Time
Parallel 100 2 0.000011
Parallel 100 2 0.000011
Parallel 100 4 0.000012
Parallel 100 4 0.000010
Parallel 100 4 0.000011
Parallel 100 4 0.000011
Parallel 100 4 0.000011
Parallel 100 4 0.000010
Parallel 100 4 0.000011
Parallel 100 4 0.000011
Parallel 100 4 0.000011
Parallel 100 4 0.000009
Parallel 100 8 0.000008
Parallel 100 8 0.000008
Parallel 100 8 0.000009
Parallel 100 8 0.000008
Parallel 100 8 0.000009
Parallel 100 8 0.000009
Parallel 100 8 0.000009
Parallel 100 8 0.000008
Parallel 100 8 0.000008
Parallel 100 8 0.000009
Parallel 100 16 0.000017
Parallel 100 16 0.000013
Parallel 100 16 0.000012
Parallel 100 16 0.000012
Parallel 100 16 0.000012
Parallel 100 16 0.000012
Parallel 100 16 0.000012
Parallel 100 16 0.000013
Parallel 100 16 0.000012
Parallel 100 16 0.000013
Parallel 100 32 0.000018
Parallel 100 32 0.000017
Parallel 100 32 0.000017
Parallel 100 32 0.000015
Parallel 100 32 0.000015
Parallel 100 32 0.000016
Parallel 100 32 0.000017
Parallel 100 32 0.000016
Parallel 100 32 0.000016
Parallel 100 32 0.000015
Parallel 100 48 0.000017
Parallel 100 48 0.000018
Parallel 100 48 0.000016
Parallel 100 48 0.000012
Parallel 100 48 0.000016
Parallel 100 48 0.000015
Parallel 100 48 0.000013
Parallel 100 48 0.000016
Parallel 100 48 0.000011
Parallel 100 48 0.000014
Parallel 100 64 0.000024
Parallel 100 64 0.000015
Parallel 100 64 0.000017
Parallel 100 64 0.000013
Parallel 100 64 0.000014
Parallel 100 64 0.000018
Parallel 100 64 0.000026
Parallel 100 64 0.000016
Parallel 100 64 0.000018
Parallel 100 64 0.000017
Parallel 100 96 0.000017
Parallel 100 96 0.000017
Parallel 100 96 0.000019
Parallel 100 96 0.000021
Parallel 100 96 0.000017
Parallel 100 96 0.000020
Parallel 100 96 0.000023
Parallel 100 96 0.000021
Parallel 100 96 0.000026
Parallel 100 96 0.000021
Parallel 100 128 0.000025
Parallel 100 128 0.000020
Parallel 100 128 0.000021
Parallel 100 128 0.000031
Parallel 100 128 0.000020
Parallel 100 128 0.000021
Parallel 100 128 0.000022
Parallel 100 128 0.000020
Parallel 100 128 0.000019
Parallel 100 128 0.000021
Parallel 100 144 0.000016
Parallel 100 144 0.000022
Parallel 100 144 0.000019
Parallel 100 144 0.000016
Parallel 100 144 0.000021
Parallel 100 144 0.000020
Parallel 100 144 0.000016
Parallel 100 144 0.000017
Parallel 100 144 0.000016
Parallel 100 144 0.000021
Parallel 100 192 0.000026
Parallel 100 192 0.000031
Parallel 100 192 0.000029
Parallel 100 192 0.000028
Parallel 100 192 0.000029
Parallel 100 192 0.000029
Parallel 100 192 0.000029
Parallel 100 192 0.000029
Parallel 100 192 0.000027
Parallel 100 192 0.000029
Parallel 1000 2 0.000092
Parallel 1000 2 0.000088
Parallel 1000 2 0.000086
Parallel 1000 2 0.000088
Parallel 1000 2 0.000087
Parallel 1000 2 0.000086
Parallel 1000 2 0.000085
Parallel 1000 2 0.000086
Parallel 1000 2 0.000084
Parallel 1000 2 0.000085
Parallel 1000 4 0.000088
Parallel 1000 4 0.000086
Parallel 1000 4 0.000084
Parallel 1000 4 0.000083
Parallel 1000 4 0.000086
Parallel 1000 4 0.000086
Parallel 1000 4 0.000086
Parallel 1000 4 0.000085
Parallel 1000 4 0.000085
Parallel 1000 4 0.000085
Parallel 1000 8 0.000085
Parallel 1000 8 0.000084
Parallel 1000 8 0.000085
Parallel 1000 8 0.000083
Parallel 1000 8 0.000143
Parallel 1000 8 0.000085
Parallel 1000 8 0.000085
Parallel 1000 8 0.000084
Parallel 1000 8 0.000084
Parallel 1000 8 0.000084
Parallel 1000 16 0.000089
Parallel 1000 16 0.000087
Parallel 1000 16 0.000087
Parallel 1000 16 0.000084
Parallel 1000 16 0.000087
Parallel 1000 16 0.000086
Parallel 1000 16 0.000087
Parallel 1000 16 0.000087
Parallel 1000 16 0.000086
Parallel 1000 16 0.000086
Parallel 1000 32 0.000091
Parallel 1000 32 0.000085
Parallel 1000 32 0.000104
Parallel 1000 32 0.000090
Parallel 1000 32 0.000092
Parallel 1000 32 0.000090
Parallel 1000 32 0.000091
Parallel 1000 32 0.000088
Parallel 1000 32 0.000103
Parallel 1000 32 0.000091
Parallel 1000 48 0.000135
Parallel 1000 48 0.000097
Parallel 1000 48 0.000094
Parallel 1000 48 0.000096
Parallel 1000 48 0.000096
Parallel 1000 48 0.000093
Parallel 1000 48 0.000097
Parallel 1000 48 0.000096
Parallel 1000 48 0.000091
Parallel 1000 48 0.000096
Parallel 1000 64 0.000099
Parallel 1000 64 0.000096
Parallel 1000 64 0.000100
Parallel 1000 64 0.000100
Parallel 1000 64 0.000099
Parallel 1000 64 0.000099
Parallel 1000 64 0.000099
Parallel 1000 64 0.000103
Parallel 1000 64 0.000097
Parallel 1000 64 0.000101
Parallel 1000 96 0.000105
Parallel 1000 96 0.000101
Parallel 1000 96 0.000102
Parallel 1000 96 0.000099
Parallel 1000 96 0.000103
Parallel 1000 96 0.000102
Parallel 1000 96 0.000102
Parallel 1000 96 0.000101
Parallel 1000 96 0.000100
Parallel 1000 96 0.000103
Parallel 1000 128 0.000103
Parallel 1000 128 0.000100
Parallel 1000 128 0.000106
Parallel 1000 128 0.000100
Parallel 1000 128 0.000105
Parallel 1000 128 0.000105
Parallel 1000 128 0.000111
Parallel 1000 128 0.000099
Parallel 1000 128 0.000103
